label,engine,seed,measured_ops,kind,count,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,throughput_ops_s
shard-T2,final,42,2000000,ALL,4000000,31.0,41,42,125,667,32935,49087183
shard-T4,final,42,2000000,ALL,8000000,43.2,42,84,167,375,71535,73367711
shard-T6,final,42,2000000,ALL,12000000,60.0,42,125,209,834,197165,82111544
shard-T8,final,42,2000000,ALL,16000000,80.9,42,166,291,833,478223,84667807
shard-T10,final,42,2000000,ALL,20000000,104.1,83,167,292,1000,5170948,82552837
